run_id,status,chapter,paper,year,model_family,implementation,config,environment,modality,eval_layer,budget_tier,remote_host,gpu,run_dir,artifact_dir,seed,env_steps,updates,wall_time_seconds,eval_return_mean,eval_return_std,best_eval_return_mean,primary_loss,claim,failure_notes,next_action
planet_dmc_cartpole_swingup_20260601_165019,superseded,planet_dmc_swingup,Hafner et al. PlaNet,2019,RSSM+CEM,src/workflows/planet.py,configs/experiment/planet_dmc_cartpole_swingup.yaml,DMC cartpole_swingup,state,Layer 2 state world-model benchmark,WSL chapter,ASUS-TUF,NVIDIA GeForce RTX 3060 Laptop GPU,/home/omkar/adarsh/rl-lab/experiments/planet_dmc_cartpole_swingup-20260601_165019,,42,,,,,,,,Early active row replaced by completed paper-aligned run,Superseded before manifest finalization,compare_against_completed_paper_authentic_row
planet_dmc_swingup_paper_authentic_20260602_123034,complete,planet_dmc_swingup,Hafner et al. PlaNet,2019,RSSM+CEM,src/workflows/planet.py,configs/experiment/planet_dmc_cartpole_swingup.yaml + configs/budget/planet_dmc_paper_authentic.yaml,DMC cartpole_swingup,state,Layer 2 state world-model benchmark,WSL chapter,ASUS-TUF,NVIDIA GeForce RTX 3060 Laptop GPU,/home/omkar/adarsh/rl-lab/experiments/planet_dmc_swingup_paper_authentic-20260602_123034,remote_artifacts/wsl/planet_dmc_swingup_paper_authentic-20260602_123034,42,178000,50000,21615.36836886406,637.5255737304688,67.18659973144531,637.5255676269531,0.4587198793888092,State-observation PlaNet paper-aligned run reaches 637.53 mean on DMC cartpole swingup,State observations not pixel PlaNet; Layer 2 target not solved; checkpoint retention bug required best_snapshots evidence,start_dreamer_chapter
